iter	MultiClass
0	1.07947108
1	1.060646301
2	1.046592119
3	1.035934987
4	1.023982033
5	1.01613605
6	1.004774612
7	0.9939730713
8	0.9845467028
9	0.9766070733
10	0.968993073
11	0.9561189836
12	0.9460505063
13	0.9392793022
14	0.9321318008
15	0.9246086775
16	0.9169090752
17	0.9078709341
18	0.9001976514
19	0.8937275896
20	0.8862931436
21	0.8785399164
22	0.8724673929
23	0.8624109856
24	0.8561772261
25	0.8504239189
26	0.8427322657
27	0.8378053371
28	0.83294384
29	0.8263592357
30	0.8203499341
31	0.8155794842
32	0.8079909209
33	0.803446306
34	0.7984800033
35	0.7933516104
36	0.7867302895
37	0.778887068
38	0.7733796213
39	0.7673003577
40	0.7622754204
41	0.7578853162
42	0.7528333784
43	0.7472494636
44	0.7425683862
45	0.7386655765
46	0.7341184269
47	0.7298226908
48	0.7248023701
49	0.7191641876
50	0.7143089504
51	0.7088466818
52	0.7045622598
53	0.6998412989
54	0.6958092576
55	0.6911585495
56	0.6863703532
57	0.6831598239
58	0.6800150935
59	0.6768456153
60	0.6736107322
61	0.6696409185
62	0.6651237686
63	0.6622319364
64	0.6586416104
65	0.6545797794
66	0.6518105213
67	0.6474283913
68	0.6441024899
69	0.6400705082
70	0.6361221204
71	0.633478135
72	0.6306481423
73	0.6277384325
74	0.6248776087
75	0.6216227965
76	0.6186758242
77	0.6162037781
78	0.6137545386
79	0.6093370706
80	0.6058532236
81	0.6020975983
82	0.5993092602
83	0.596968522
84	0.5935268227
85	0.5902261432
86	0.5872592665
87	0.5844366615
88	0.5815744387
89	0.5790042469
90	0.576276429
91	0.5739689156
92	0.5717649522
93	0.5693258532
94	0.5651832183
95	0.5626419098
96	0.5600725604
97	0.5582018851
98	0.5563567214
99	0.5538442922
100	0.5519672928
101	0.5496935788
102	0.5469757807
103	0.5449033969
104	0.5418900557
105	0.5403397277
106	0.5385639454
107	0.5367709849
108	0.5350217645
109	0.5327777803
110	0.5304797388
111	0.5270799236
112	0.5249792391
113	0.5228868682
114	0.5203301447
115	0.5183700437
116	0.5155964873
117	0.5134904269
118	0.5117156233
119	0.5103880267
120	0.5081238014
121	0.5061599799
122	0.503702345
123	0.5021728166
124	0.5002955951
125	0.4991021081
126	0.4971165742
127	0.4951311333
128	0.4936002297
129	0.4917834242
130	0.4897456656
131	0.4879446707
132	0.4861336782
133	0.4839739319
134	0.4821509949
135	0.480486139
136	0.4785875857
137	0.4771343222
138	0.4760696248
139	0.4748042957
140	0.4732013983
141	0.4716496426
142	0.4700533826
143	0.4683682265
144	0.4662501317
145	0.4648911773
146	0.462866134
147	0.4612952311
148	0.4600806986
149	0.458581436
150	0.4571129396
151	0.4551151797
152	0.4530069516
153	0.4513901628
154	0.4498483818
155	0.4485915692
156	0.4472793947
157	0.4456721269
158	0.4444288708
159	0.4429334756
160	0.4421647291
161	0.4404204484
162	0.4391686472
163	0.4377339204
164	0.4365690583
165	0.4349536089
166	0.4338373187
167	0.4323948836
168	0.430228917
169	0.4287708548
170	0.4274270958
171	0.4260831403
172	0.4249129397
173	0.4233527246
174	0.4218690197
175	0.4204000009
176	0.4184516262
177	0.4168434028
178	0.4161546271
179	0.4150411338
180	0.4134902053
181	0.4119460864
182	0.4107113235
183	0.4094450418
184	0.4078472601
185	0.4065365295
186	0.405620531
187	0.404087413
188	0.4027361925
189	0.4012466016
190	0.4000195097
191	0.3993198246
192	0.3980069676
