iter	Passed	Remaining
0	10	10911
1	19	9735
2	28	9627
3	31	7966
4	40	8140
5	49	8125
6	57	8191
7	66	8215
8	74	8234
9	79	7855
10	87	7901
11	98	8079
12	99	7537
13	108	7608
14	116	7677
15	125	7696
16	133	7733
17	142	7797
18	148	7652
19	157	7722
20	165	7729
21	174	7740
22	182	7737
23	187	7609
24	195	7637
25	203	7640
26	211	7639
27	220	7650
28	229	7673
29	238	7701
30	246	7708
31	254	7709
32	263	7721
33	271	7723
34	280	7725
35	288	7734
36	293	7640
37	302	7648
38	310	7649
39	319	7667
40	327	7665
41	337	7694
42	346	7701
43	355	7715
44	363	7724
45	374	7768
46	385	7810
47	394	7830
48	403	7828
49	412	7838
50	420	7829
51	429	7834
52	438	7832
53	446	7817
54	455	7832
55	456	7703
56	465	7704
57	474	7704
58	482	7691
59	491	7696
60	499	7692
61	507	7685
62	516	7689
63	525	7682
64	534	7684
65	542	7678
66	551	7678
67	554	7596
68	562	7595
69	571	7591
70	581	7608
71	589	7601
72	598	7596
73	607	7601
74	615	7593
75	624	7593
76	633	7594
77	642	7593
78	651	7593
79	660	7595
80	668	7589
81	677	7584
82	686	7580
83	699	7622
84	718	7730
85	737	7836
86	747	7841
87	755	7831
88	764	7823
89	773	7821
90	781	7808
91	789	7796
92	801	7818
93	809	7804
94	818	7795
95	826	7786
96	836	7784
97	845	7779
98	854	7774
99	863	7768
100	872	7762
101	880	7754
102	890	7751
103	898	7743
104	907	7731
105	915	7721
106	924	7712
107	932	7699
108	940	7689
109	948	7678
110	957	7666
111	965	7655
112	973	7644
113	982	7633
114	991	7627
115	1000	7620
116	1007	7607
117	1016	7600
118	1025	7593
119	1034	7585
120	1042	7574
121	1051	7565
122	1059	7555
123	1068	7548
124	1077	7540
125	1085	7528
126	1094	7523
127	1103	7516
128	1112	7508
129	1120	7498
130	1130	7500
131	1139	7495
132	1149	7493
133	1158	7485
134	1167	7478
135	1175	7469
136	1185	7466
137	1193	7454
138	1202	7447
139	1211	7440
140	1219	7430
141	1228	7419
142	1236	7410
143	1245	7401
144	1253	7389
145	1262	7382
146	1270	7371
147	1279	7365
148	1288	7359
149	1297	7351
150	1305	7342
151	1314	7331
152	1322	7322
153	1330	7310
154	1339	7305
155	1348	7295
156	1357	7287
157	1365	7276
158	1374	7268
159	1382	7257
160	1390	7247
161	1399	7238
162	1408	7232
163	1416	7222
164	1424	7208
165	1433	7199
166	1441	7191
167	1450	7181
168	1458	7172
169	1466	7162
170	1475	7152
171	1483	7141
172	1492	7132
173	1500	7123
174	1509	7115
175	1517	7105
176	1526	7097
177	1535	7088
178	1544	7084
179	1553	7075
180	1561	7064
181	1569	7055
182	1578	7045
183	1587	7038
184	1595	7026
185	1603	7019
186	1612	7009
187	1620	6999
188	1628	6989
189	1637	6981
190	1647	6978
191	1655	6968
192	1664	6959
193	1673	6954
194	1682	6944
195	1691	6937
196	1700	6930
197	1708	6920
198	1717	6911
199	1725	6903
200	1734	6893
201	1742	6882
202	1750	6872
203	1759	6865
204	1768	6858
205	1777	6849
206	1785	6840
207	1793	6830
208	1802	6822
209	1812	6817
210	1821	6809
211	1829	6801
212	1838	6793
213	1847	6784
214	1855	6776
215	1865	6771
216	1874	6762
217	1883	6756
218	1892	6747
219	1900	6738
220	1908	6728
221	1917	6718
222	1927	6716
223	1936	6709
224	1945	6700
225	1953	6691
226	1962	6682
227	1972	6677
228	1981	6670
229	1989	6661
230	1998	6653
231	2008	6648
232	2016	6638
233	2025	6630
234	2033	6620
235	2041	6610
236	2050	6602
237	2059	6593
238	2067	6584
239	2076	6576
240	2084	6566
241	2093	6558
242	2101	6547
243	2110	6539
244	2119	6530
245	2127	6522
246	2136	6514
247	2144	6503
248	2153	6494
249	2162	6486
250	2170	6477
251	2179	6469
252	2188	6460
253	2196	6451
254	2205	6442
255	2213	6434
256	2222	6425
257	2231	6417
258	2240	6409
259	2249	6401
260	2257	6391
261	2266	6383
262	2274	6374
263	2283	6366
264	2291	6355
265	2300	6347
266	2308	6338
267	2318	6332
268	2327	6325
269	2337	6319
270	2346	6310
271	2355	6303
272	2363	6294
273	2371	6284
274	2380	6276
275	2389	6268
276	2398	6260
277	2407	6252
278	2416	6244
279	2425	6235
280	2433	6227
